Name,Accuracy,Status,Leak,Leak Link,domain,datetime,slopes_before,slopes_after,class,stock_of_prev_day,Sentiment Twitter,Sentiment SST2,Sentiment Financial News
👨‍💻 Ming-Chi Kuo,72.5,⛔️,Smaller wireless charging mat coming in first half of 2020,https://9to5mac.com/2020/01/29/kuo-forecasts-new-apple-products-coming-this-year-including-wireless-charging-mat-uwb-tags-and-high-end-headphones/,9to5mac.com,2020-01-29,0.11607142857142051,0.06321428571427712,Neutral,81.08,neutral,NEGATIVE,neutral
🕘 9to5Mac,82.8,✅,watchOS 7 can share watch faces,https://9to5mac.com/2020/03/09/apple-watch-series-6-watchos-7-features/,9to5mac.com,2020-03-09,-0.33500000000000774,-1.1032142857142937,Significantly Negative,66.54,neutral,POSITIVE,neutral
🏀 Mark Gurman,86.4,⏳,Future Mac will have Face ID,https://www.bloomberg.com/news/articles/2021-01-22/apple-aapl-plans-new-macbook-air-with-magsafe-macbook-pro-with-sd-card-slot,bloomberg.com,2021-01-22,1.6196428571428414,-1.5278571428571501,Significantly Negative,139.07,neutral,POSITIVE,neutral
📱 Jeff Pu,50.0,✅,12.9-inch iPad Pro getting Mini-LED display,https://www.macrumors.com/2020/05/26/apple-mini-led-2021/,macrumors.com,2020-05-26,0.3442857142857056,0.3499999999999944,Positive,79.18,neutral,NEGATIVE,neutral
🕘 9to5Mac,82.8,⛔️,AirPods Max will have reversibility,https://9to5mac.com/2020/05/11/airpods-studio-features-exclusive/,9to5mac.com,2020-05-11,1.0524999999999947,0.013928571428561732,Neutral,78.75,positiv,NEGATIVE,neutral
👨‍💻 Ming-Chi Kuo,72.5,⏳,Apple AR/VR headset has Mac computing power,https://appletrack.com/kuo-apples-ar-headset-will-launch-in-q4-of-2022/,appletrack.com,2021-11-27,0.6771428571428433,1.0689285714285441,Significantly Positive,156.81,neutral,POSITIVE,neutral
🕘 9to5Mac,82.8,✅,AirTags can be setup in bulk,https://9to5mac.com/2020/03/10/ios-14-iphone-9-ipad-pro-apple-tv/,9to5mac.com,2020-03-10,-0.8971428571428618,-1.4917857142857192,Significantly Negative,71.33,neutral,NEGATIVE,neutral
🏀 Mark Gurman,86.4,⛔️,2021 MacBook Pro will have minor design changes,https://www.bloomberg.com/news/articles/2021-01-15/apple-macbook-pros-with-magsafe-return-in-the-works,bloomberg.com,2021-01-15,-0.561071428571447,3.0457142857142787,Significantly Positive,127.14,neutral,NEGATIVE,neutral
🏀 Mark Gurman,86.4,⏳,Next Apple Silicon will have 64/128 dedicated graphics cores,https://www.bloomberg.com/news/articles/2020-12-07/apple-preps-next-mac-chips-with-aim-to-outclass-highest-end-pcs,bloomberg.com,2020-12-07,1.0035714285714177,0.27928571428570886,Positive,123.75,neutral,NEGATIVE,neutral
👨‍💻 Ming-Chi Kuo,72.5,⏳,2022 iPhones will have 6.7-inch model under $900,https://appletrack.com/2022-iphone-lineup-to-consist-of-multiple-6-7-inch-max-models-under-display-touch-id-also-coming/,appletrack.com,2021-06-23,0.7267857142856985,0.7510714285714187,Positive,133.7,neutral,NEGATIVE,neutral
